date,home,away,winner,loser,winner_pts,loser_pts
2026-08-09,Kansas City Royals,Chicago Cubs,Chicago Cubs,Kansas City Royals,10,2
2026-08-09,Chicago White Sox,Cleveland Guardians,Chicago White Sox,Cleveland Guardians,5,3
2026-08-09,Milwaukee Brewers,Minnesota Twins,Milwaukee Brewers,Minnesota Twins,4,3
2026-08-09,St. Louis Cardinals,Colorado Rockies,St. Louis Cardinals,Colorado Rockies,7,4
2026-08-09,Texas Rangers,Baltimore Orioles,Baltimore Orioles,Texas Rangers,10,5
2026-08-09,San Francisco Giants,Detroit Tigers,Detroit Tigers,San Francisco Giants,3,1
2026-08-09,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,4,2
2026-08-09,Seattle Mariners,Tampa Bay Rays,Tampa Bay Rays,Seattle Mariners,4,1
2026-08-09,San Diego Padres,Houston Astros,San Diego Padres,Houston Astros,7,2
2026-08-10,Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,2,1
2026-08-10,Atlanta Braves,New York Mets,New York Mets,Atlanta Braves,8,5
2026-08-10,Minnesota Twins,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,9,5
2026-08-10,St. Louis Cardinals,Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,6,5
2026-08-10,Los Angeles Angels,Texas Rangers,Texas Rangers,Los Angeles Angels,4,1
2026-08-10,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies,9,0
2026-08-10,Athletics,Tampa Bay Rays,Tampa Bay Rays,Athletics,10,6
2026-08-10,San Diego Padres,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,3,2
2026-08-10,San Francisco Giants,Houston Astros,Houston Astros,San Francisco Giants,6,3
2026-08-10,Los Angeles Dodgers,Kansas City Royals,Los Angeles Dodgers,Kansas City Royals,6,5
2026-08-11,Detroit Tigers,Cleveland Guardians,Detroit Tigers,Cleveland Guardians,6,4
2026-08-11,Miami Marlins,Pittsburgh Pirates,Miami Marlins,Pittsburgh Pirates,2,0
2026-08-11,Washington Nationals,Chicago Cubs,Chicago Cubs,Washington Nationals,8,6
2026-08-11,New York Yankees,Seattle Mariners,New York Yankees,Seattle Mariners,4,1
2026-08-11,Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,5,3
2026-08-11,Atlanta Braves,New York Mets,Atlanta Braves,New York Mets,4,0
2026-08-11,Minnesota Twins,Baltimore Orioles,Baltimore Orioles,Minnesota Twins,5,2
2026-08-11,Chicago White Sox,Cincinnati Reds,Cincinnati Reds,Chicago White Sox,5,4
2026-08-11,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,2,0
2026-08-11,Los Angeles Angels,Texas Rangers,Los Angeles Angels,Texas Rangers,3,2
2026-08-11,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies,Arizona Diamondbacks,3,2
2026-08-11,Athletics,Tampa Bay Rays,Tampa Bay Rays,Athletics,12,4
2026-08-11,San Diego Padres,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,11,2
2026-08-11,San Francisco Giants,Houston Astros,San Francisco Giants,Houston Astros,4,1
2026-08-11,Los Angeles Dodgers,Kansas City Royals,Los Angeles Dodgers,Kansas City Royals,5,4
2026-08-12,Minnesota Twins,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,7,5
2026-08-12,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,7,1
2026-08-12,Athletics,Tampa Bay Rays,Tampa Bay Rays,Athletics,8,4
2026-08-12,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies,Arizona Diamondbacks,6,4
2026-08-12,San Francisco Giants,Houston Astros,Houston Astros,San Francisco Giants,2,1
2026-08-12,San Diego Padres,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,4,3
2026-08-12,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Detroit Tigers,6,4
2026-08-12,Miami Marlins,Pittsburgh Pirates,Miami Marlins,Pittsburgh Pirates,8,2
2026-08-12,Washington Nationals,Chicago Cubs,Chicago Cubs,Washington Nationals,12,6
2026-08-12,New York Yankees,Seattle Mariners,New York Yankees,Seattle Mariners,10,5
2026-08-12,Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,6,4
2026-08-12,Atlanta Braves,New York Mets,Atlanta Braves,New York Mets,6,3
2026-08-12,Chicago White Sox,Cincinnati Reds,Chicago White Sox,Cincinnati Reds,5,0
2026-08-12,Los Angeles Dodgers,Kansas City Royals,Los Angeles Dodgers,Kansas City Royals,4,2
2026-08-12,Los Angeles Angels,Texas Rangers,Los Angeles Angels,Texas Rangers,5,2
2026-08-13,Detroit Tigers,Cleveland Guardians,Detroit Tigers,Cleveland Guardians,3,0
2026-08-13,Chicago White Sox,Cincinnati Reds,Cincinnati Reds,Chicago White Sox,9,8
2026-08-13,Miami Marlins,Pittsburgh Pirates,Pittsburgh Pirates,Miami Marlins,11,1
2026-08-13,New York Yankees,Seattle Mariners,Seattle Mariners,New York Yankees,1,0
2026-08-13,Toronto Blue Jays,Boston Red Sox,Boston Red Sox,Toronto Blue Jays,7,0
2026-08-13,Washington Nationals,Chicago Cubs,Washington Nationals,Chicago Cubs,7,0
2026-08-13,Minnesota Twins,Philadelphia Phillies,Philadelphia Phillies,Minnesota Twins,7,1
2026-08-13,Los Angeles Angels,Texas Rangers,Los Angeles Angels,Texas Rangers,7,0
2026-08-13,Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers,Los Angeles Dodgers,5,4
2026-08-14,Chicago Cubs,St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,3,0
2026-08-14,Cincinnati Reds,Miami Marlins,Cincinnati Reds,Miami Marlins,1,0
2026-08-14,Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates,Boston Red Sox,8,4
2026-08-14,Detroit Tigers,Chicago White Sox,Chicago White Sox,Detroit Tigers,9,5
2026-08-14,New York Mets,Washington Nationals,New York Mets,Washington Nationals,4,1
2026-08-14,Cleveland Guardians,San Diego Padres,San Diego Padres,Cleveland Guardians,7,5
2026-08-14,Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,6,5
2026-08-14,Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks,Atlanta Braves,2,0
2026-08-14,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,New York Yankees,3,1
2026-08-14,Houston Astros,Seattle Mariners,Houston Astros,Seattle Mariners,10,7
2026-08-14,Los Angeles Angels,Kansas City Royals,Kansas City Royals,Los Angeles Angels,7,6
2026-08-14,Athletics,Texas Rangers,Athletics,Texas Rangers,8,3
2026-08-14,Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,3,1
2026-08-14,San Francisco Giants,Colorado Rockies,Colorado Rockies,San Francisco Giants,5,2
2026-08-15,Detroit Tigers,Chicago White Sox,Chicago White Sox,Detroit Tigers,4,3
2026-08-15,Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals,Chicago Cubs,8,4
2026-08-15,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,New York Yankees,4,1
2026-08-15,San Francisco Giants,Colorado Rockies,San Francisco Giants,Colorado Rockies,7,1
2026-08-15,New York Mets,Washington Nationals,New York Mets,Washington Nationals,5,4
2026-08-15,Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,4,3
2026-08-15,Cincinnati Reds,Miami Marlins,Miami Marlins,Cincinnati Reds,8,4
2026-08-15,Cleveland Guardians,San Diego Padres,Cleveland Guardians,San Diego Padres,6,1
2026-08-15,Houston Astros,Seattle Mariners,Seattle Mariners,Houston Astros,10,5
2026-08-15,Minnesota Twins,Philadelphia Phillies,Philadelphia Phillies,Minnesota Twins,9,1
2026-08-15,Pittsburgh Pirates,Boston Red Sox,Boston Red Sox,Pittsburgh Pirates,4,0
2026-08-15,Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks,Atlanta Braves,10,3
2026-08-15,Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers,Los Angeles Dodgers,4,1
2026-08-15,Los Angeles Angels,Kansas City Royals,Los Angeles Angels,Kansas City Royals,1,0
2026-08-15,Athletics,Texas Rangers,Texas Rangers,Athletics,5,3
2026-08-16,Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,10,2
2026-08-16,Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates,Boston Red Sox,8,3
2026-08-16,Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,5,3
2026-08-16,Toronto Blue Jays,New York Yankees,New York Yankees,Toronto Blue Jays,4,3
2026-08-16,New York Mets,Washington Nationals,New York Mets,Washington Nationals,4,3
2026-08-16,Cleveland Guardians,San Diego Padres,San Diego Padres,Cleveland Guardians,5,0
2026-08-16,Detroit Tigers,Chicago White Sox,Chicago White Sox,Detroit Tigers,7,5
2026-08-16,Cincinnati Reds,Miami Marlins,Miami Marlins,Cincinnati Reds,7,1
2026-08-16,Minnesota Twins,Philadelphia Phillies,Philadelphia Phillies,Minnesota Twins,7,5
2026-08-16,Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals,Chicago Cubs,11,4
2026-08-16,San Francisco Giants,Colorado Rockies,Colorado Rockies,San Francisco Giants,13,7
2026-08-16,Athletics,Texas Rangers,Athletics,Texas Rangers,5,2
2026-08-16,Los Angeles Angels,Kansas City Royals,Kansas City Royals,Los Angeles Angels,3,0
2026-08-16,Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers,Los Angeles Dodgers,6,2
2026-08-16,Houston Astros,Seattle Mariners,Seattle Mariners,Houston Astros,3,2
2026-08-17,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,Cincinnati Reds,2,1
2026-08-17,Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals,6,5
2026-08-17,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,7,6
2026-08-17,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,Miami Marlins,6,5
2026-08-17,Pittsburgh Pirates,Detroit Tigers,Detroit Tigers,Pittsburgh Pirates,8,5
2026-08-17,Boston Red Sox,Arizona Diamondbacks,Boston Red Sox,Arizona Diamondbacks,11,1
2026-08-17,New York Mets,San Diego Padres,New York Mets,San Diego Padres,2,1
2026-08-17,Kansas City Royals,Athletics,Kansas City Royals,Athletics,9,5
2026-08-17,Minnesota Twins,Atlanta Braves,Minnesota Twins,Atlanta Braves,4,2
2026-08-17,Chicago Cubs,Chicago White Sox,Chicago Cubs,Chicago White Sox,7,5
2026-08-17,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,Colorado Rockies,11,5
2026-08-18,Baltimore Orioles,New York Yankees,New York Yankees,Baltimore Orioles,3,1
2026-08-18,Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,Detroit Tigers,4,1
2026-08-18,Cleveland Guardians,San Francisco Giants,Cleveland Guardians,San Francisco Giants,8,1
2026-08-18,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,Cincinnati Reds,3,0
2026-08-18,Tampa Bay Rays,Toronto Blue Jays,Toronto Blue Jays,Tampa Bay Rays,10,5
2026-08-18,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,Miami Marlins,6,4
2026-08-18,Boston Red Sox,Arizona Diamondbacks,Boston Red Sox,Arizona Diamondbacks,9,4
2026-08-18,New York Mets,San Diego Padres,San Diego Padres,New York Mets,5,2
2026-08-18,Kansas City Royals,Athletics,Kansas City Royals,Athletics,4,3
2026-08-18,Minnesota Twins,Atlanta Braves,Minnesota Twins,Atlanta Braves,4,1
2026-08-18,Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,Seattle Mariners,10,0
2026-08-18,Texas Rangers,Washington Nationals,Texas Rangers,Washington Nationals,5,0
2026-08-18,Chicago Cubs,Chicago White Sox,Chicago Cubs,Chicago White Sox,4,3
2026-08-18,Houston Astros,Los Angeles Angels,Los Angeles Angels,Houston Astros,3,1
2026-08-18,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,Colorado Rockies,7,6
2026-08-19,Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,Detroit Tigers,4,3
2026-08-19,New York Mets,San Diego Padres,New York Mets,San Diego Padres,4,2
2026-08-19,Minnesota Twins,Atlanta Braves,Minnesota Twins,Atlanta Braves,6,4
2026-08-19,Chicago Cubs,Chicago White Sox,Chicago White Sox,Chicago Cubs,3,0
2026-08-19,Boston Red Sox,Arizona Diamondbacks,Arizona Diamondbacks,Boston Red Sox,7,6
2026-08-19,Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,Miami Marlins,4,1
2026-08-19,Baltimore Orioles,New York Yankees,New York Yankees,Baltimore Orioles,5,3
2026-08-19,Cleveland Guardians,San Francisco Giants,San Francisco Giants,Cleveland Guardians,1,0
2026-08-19,Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals,5,4
2026-08-19,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,7,6
2026-08-19,Kansas City Royals,Athletics,Kansas City Royals,Athletics,9,7
2026-08-19,Milwaukee Brewers,Seattle Mariners,Seattle Mariners,Milwaukee Brewers,7,5
2026-08-19,Texas Rangers,Washington Nationals,Washington Nationals,Texas Rangers,6,0
2026-08-19,Houston Astros,Los Angeles Angels,Houston Astros,Los Angeles Angels,3,2
2026-08-19,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,Colorado Rockies,6,4
2026-08-20,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,Cincinnati Reds,10,9
2026-08-20,Cleveland Guardians,San Francisco Giants,Cleveland Guardians,San Francisco Giants,5,2
2026-08-20,Tampa Bay Rays,Toronto Blue Jays,Toronto Blue Jays,Tampa Bay Rays,5,1
2026-08-20,Kansas City Royals,Athletics,Kansas City Royals,Athletics,6,2
2026-08-20,Chicago White Sox,Atlanta Braves,Atlanta Braves,Chicago White Sox,2,0
2026-08-20,Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,Seattle Mariners,7,4
2026-08-20,Baltimore Orioles,New York Yankees,New York Yankees,Baltimore Orioles,6,1
2026-08-20,Texas Rangers,Washington Nationals,Texas Rangers,Washington Nationals,2,0
2026-08-20,Houston Astros,Los Angeles Angels,Los Angeles Angels,Houston Astros,13,3
2026-08-21,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,Atlanta Braves,2,1
2026-08-21,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,7,6
2026-08-21,New York Yankees,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,3,1
2026-08-21,Boston Red Sox,San Francisco Giants,Boston Red Sox,San Francisco Giants,6,4
2026-08-21,Miami Marlins,Washington Nationals,Miami Marlins,Washington Nationals,3,2
2026-08-21,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,5,3
2026-08-21,Chicago White Sox,New York Mets,Chicago White Sox,New York Mets,6,4
2026-08-21,Kansas City Royals,Detroit Tigers,Kansas City Royals,Detroit Tigers,5,2
2026-08-21,Houston Astros,Athletics,Houston Astros,Athletics,4,0
2026-08-21,Texas Rangers,Los Angeles Angels,Texas Rangers,Los Angeles Angels,2,1
2026-08-21,Colorado Rockies,Cleveland Guardians,Cleveland Guardians,Colorado Rockies,9,1
2026-08-21,Arizona Diamondbacks,Cincinnati Reds,Arizona Diamondbacks,Cincinnati Reds,9,0
2026-08-21,San Diego Padres,Minnesota Twins,San Diego Padres,Minnesota Twins,6,2
2026-08-21,Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,Pittsburgh Pirates,5,4
2026-08-21,Seattle Mariners,Chicago Cubs,Seattle Mariners,Chicago Cubs,6,5
2026-08-22,New York Yankees,Toronto Blue Jays,Toronto Blue Jays,New York Yankees,4,3
2026-08-22,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,Atlanta Braves,4,1
2026-08-22,Miami Marlins,Washington Nationals,Miami Marlins,Washington Nationals,4,2
2026-08-22,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,12,3
2026-08-22,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,3,2
2026-08-22,Texas Rangers,Los Angeles Angels,Los Angeles Angels,Texas Rangers,3,0
2026-08-22,Houston Astros,Athletics,Athletics,Houston Astros,4,3
2026-08-22,Chicago White Sox,New York Mets,New York Mets,Chicago White Sox,10,5
2026-08-22,Kansas City Royals,Detroit Tigers,Kansas City Royals,Detroit Tigers,3,1
2026-08-22,Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,Pittsburgh Pirates,4,3
2026-08-22,Seattle Mariners,Chicago Cubs,Seattle Mariners,Chicago Cubs,5,4
2026-08-22,Boston Red Sox,San Francisco Giants,Boston Red Sox,San Francisco Giants,3,2
2026-08-22,Arizona Diamondbacks,Cincinnati Reds,Cincinnati Reds,Arizona Diamondbacks,11,5
2026-08-22,Colorado Rockies,Cleveland Guardians,Cleveland Guardians,Colorado Rockies,4,3
2026-08-22,San Diego Padres,Minnesota Twins,San Diego Padres,Minnesota Twins,7,5
2026-08-23,Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,3,1
2026-08-23,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,6,4
2026-08-23,New York Yankees,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,8,3
2026-08-23,Miami Marlins,Washington Nationals,Miami Marlins,Washington Nationals,6,2
2026-08-23,Kansas City Royals,Detroit Tigers,Kansas City Royals,Detroit Tigers,11,7
2026-08-23,Houston Astros,Athletics,Athletics,Houston Astros,7,6
2026-08-23,Chicago White Sox,New York Mets,Chicago White Sox,New York Mets,2,1
2026-08-23,Texas Rangers,Los Angeles Angels,Texas Rangers,Los Angeles Angels,5,3
2026-08-23,Colorado Rockies,Cleveland Guardians,Cleveland Guardians,Colorado Rockies,7,2
2026-08-23,Boston Red Sox,San Francisco Giants,Boston Red Sox,San Francisco Giants,5,4
2026-08-23,Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,Pittsburgh Pirates,4,0
2026-08-23,Seattle Mariners,Chicago Cubs,Chicago Cubs,Seattle Mariners,12,2
2026-08-23,San Diego Padres,Minnesota Twins,San Diego Padres,Minnesota Twins,8,1
2026-08-23,Arizona Diamondbacks,Cincinnati Reds,Arizona Diamondbacks,Cincinnati Reds,5,3
2026-08-23,Milwaukee Brewers,Atlanta Braves,Atlanta Braves,Milwaukee Brewers,4,2
2026-08-24,Detroit Tigers,Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,4,1
2026-08-24,Miami Marlins,Boston Red Sox,Boston Red Sox,Miami Marlins,4,2
2026-08-24,Washington Nationals,Colorado Rockies,Washington Nationals,Colorado Rockies,13,3
2026-08-24,Chicago White Sox,Texas Rangers,Texas Rangers,Chicago White Sox,11,2
2026-08-24,Los Angeles Angels,Cleveland Guardians,Cleveland Guardians,Los Angeles Angels,4,2
2026-08-24,Arizona Diamondbacks,Chicago Cubs,Chicago Cubs,Arizona Diamondbacks,7,0
2026-08-24,San Diego Padres,Pittsburgh Pirates,Pittsburgh Pirates,San Diego Padres,3,2
2026-08-24,Athletics,Minnesota Twins,Minnesota Twins,Athletics,9,6
2026-08-24,Seattle Mariners,Philadelphia Phillies,Seattle Mariners,Philadelphia Phillies,9,2
2026-08-24,San Francisco Giants,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,5,0
2026-08-25,Detroit Tigers,Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,4,1
2026-08-25,Miami Marlins,Boston Red Sox,Boston Red Sox,Miami Marlins,7,3
2026-08-25,Washington Nationals,Colorado Rockies,Colorado Rockies,Washington Nationals,3,1
2026-08-25,New York Yankees,Houston Astros,Houston Astros,New York Yankees,9,7
2026-08-25,Toronto Blue Jays,Kansas City Royals,Kansas City Royals,Toronto Blue Jays,5,3
2026-08-25,New York Mets,Milwaukee Brewers,New York Mets,Milwaukee Brewers,3,2
2026-08-25,Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,4,3
2026-08-25,Chicago White Sox,Texas Rangers,Chicago White Sox,Texas Rangers,11,7
2026-08-25,St. Louis Cardinals,Baltimore Orioles,Baltimore Orioles,St. Louis Cardinals,11,1
2026-08-25,Los Angeles Angels,Cleveland Guardians,Cleveland Guardians,Los Angeles Angels,8,6
2026-08-25,Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,5,4
2026-08-25,San Diego Padres,Pittsburgh Pirates,Pittsburgh Pirates,San Diego Padres,1,0
2026-08-25,Athletics,Minnesota Twins,Athletics,Minnesota Twins,4,2
2026-08-25,Seattle Mariners,Philadelphia Phillies,Seattle Mariners,Philadelphia Phillies,4,1
2026-08-25,San Francisco Giants,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,3,1
2026-08-26,Detroit Tigers,Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,3,0
2026-08-26,Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,2,0
2026-08-26,San Francisco Giants,Cincinnati Reds,Cincinnati Reds,San Francisco Giants,10,9
2026-08-26,Los Angeles Angels,Cleveland Guardians,Cleveland Guardians,Los Angeles Angels,4,3
2026-08-26,San Diego Padres,Pittsburgh Pirates,San Diego Padres,Pittsburgh Pirates,3,0
2026-08-26,Seattle Mariners,Philadelphia Phillies,Philadelphia Phillies,Seattle Mariners,6,0
2026-08-26,Miami Marlins,Boston Red Sox,Miami Marlins,Boston Red Sox,4,0
2026-08-26,Washington Nationals,Colorado Rockies,Colorado Rockies,Washington Nationals,11,1
2026-08-26,New York Yankees,Houston Astros,New York Yankees,Houston Astros,9,3
2026-08-26,Toronto Blue Jays,Kansas City Royals,Toronto Blue Jays,Kansas City Royals,3,0
2026-08-26,New York Mets,Milwaukee Brewers,Milwaukee Brewers,New York Mets,8,1
2026-08-26,Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,6,5
2026-08-26,Chicago White Sox,Texas Rangers,Chicago White Sox,Texas Rangers,10,4
2026-08-26,St. Louis Cardinals,Baltimore Orioles,Baltimore Orioles,St. Louis Cardinals,8,7
2026-08-26,Athletics,Minnesota Twins,Athletics,Minnesota Twins,7,4
2026-08-27,Washington Nationals,Colorado Rockies,Washington Nationals,Colorado Rockies,7,1
2026-08-27,St. Louis Cardinals,Baltimore Orioles,St. Louis Cardinals,Baltimore Orioles,7,5
2026-08-27,New York Yankees,Houston Astros,Houston Astros,New York Yankees,5,1
2026-08-27,Toronto Blue Jays,Kansas City Royals,Kansas City Royals,Toronto Blue Jays,12,2
2026-08-27,New York Mets,Milwaukee Brewers,Milwaukee Brewers,New York Mets,8,2
2026-08-27,Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,1,0
2026-08-27,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,6,1
2026-08-28,Chicago Cubs,Cincinnati Reds,Cincinnati Reds,Chicago Cubs,10,8
2026-08-28,Detroit Tigers,Los Angeles Dodgers,Los Angeles Dodgers,Detroit Tigers,2,1
2026-08-28,Washington Nationals,Miami Marlins,Washington Nationals,Miami Marlins,9,2
2026-08-28,Cleveland Guardians,Kansas City Royals,Kansas City Royals,Cleveland Guardians,3,0
2026-08-28,New York Mets,Houston Astros,Houston Astros,New York Mets,3,1
2026-08-28,Tampa Bay Rays,San Diego Padres,Tampa Bay Rays,San Diego Padres,9,4
2026-08-28,Toronto Blue Jays,Seattle Mariners,Toronto Blue Jays,Seattle Mariners,8,1
2026-08-28,Atlanta Braves,Colorado Rockies,Atlanta Braves,Colorado Rockies,6,4
2026-08-28,New York Yankees,Boston Red Sox,New York Yankees,Boston Red Sox,1,0
2026-08-28,Milwaukee Brewers,Texas Rangers,Milwaukee Brewers,Texas Rangers,6,1
2026-08-28,Minnesota Twins,Chicago White Sox,Chicago White Sox,Minnesota Twins,7,4
2026-08-28,St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates,4,1
2026-08-28,Los Angeles Angels,Philadelphia Phillies,Philadelphia Phillies,Los Angeles Angels,5,3
2026-08-28,Athletics,Baltimore Orioles,Baltimore Orioles,Athletics,4,3
2026-08-28,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,San Francisco Giants,10,6
2026-08-29,New York Yankees,Boston Red Sox,Boston Red Sox,New York Yankees,6,0
2026-08-29,New York Yankees,Boston Red Sox,New York Yankees,Boston Red Sox,9,2
2026-08-29,Detroit Tigers,Los Angeles Dodgers,Detroit Tigers,Los Angeles Dodgers,2,1
2026-08-29,Minnesota Twins,Chicago White Sox,Chicago White Sox,Minnesota Twins,3,2
2026-08-29,St. Louis Cardinals,Pittsburgh Pirates,Pittsburgh Pirates,St. Louis Cardinals,6,2
2026-08-29,Chicago Cubs,Cincinnati Reds,Chicago Cubs,Cincinnati Reds,15,5
2026-08-29,Toronto Blue Jays,Seattle Mariners,Toronto Blue Jays,Seattle Mariners,4,3
2026-08-29,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,San Francisco Giants,7,1
2026-08-29,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,7,2
2026-08-29,Washington Nationals,Miami Marlins,Washington Nationals,Miami Marlins,5,4
2026-08-29,Cleveland Guardians,Kansas City Royals,Kansas City Royals,Cleveland Guardians,8,3
2026-08-29,New York Mets,Houston Astros,New York Mets,Houston Astros,6,2
2026-08-29,Tampa Bay Rays,San Diego Padres,Tampa Bay Rays,San Diego Padres,7,6
2026-08-29,Atlanta Braves,Colorado Rockies,Atlanta Braves,Colorado Rockies,2,1
2026-08-29,Milwaukee Brewers,Texas Rangers,Milwaukee Brewers,Texas Rangers,5,3
2026-08-29,Athletics,Baltimore Orioles,Baltimore Orioles,Athletics,5,3
2026-08-29,Los Angeles Angels,Philadelphia Phillies,Philadelphia Phillies,Los Angeles Angels,4,2
2026-08-30,Washington Nationals,Miami Marlins,Miami Marlins,Washington Nationals,6,2
2026-08-30,Atlanta Braves,Colorado Rockies,Atlanta Braves,Colorado Rockies,3,2
2026-08-30,New York Yankees,Boston Red Sox,New York Yankees,Boston Red Sox,11,1
2026-08-30,Toronto Blue Jays,Seattle Mariners,Toronto Blue Jays,Seattle Mariners,7,0
2026-08-30,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,Kansas City Royals,11,1
2026-08-30,Detroit Tigers,Los Angeles Dodgers,Los Angeles Dodgers,Detroit Tigers,6,1
2026-08-30,Tampa Bay Rays,San Diego Padres,Tampa Bay Rays,San Diego Padres,5,4
2026-08-30,Minnesota Twins,Chicago White Sox,Minnesota Twins,Chicago White Sox,5,1
2026-08-30,Milwaukee Brewers,Texas Rangers,Texas Rangers,Milwaukee Brewers,7,4
2026-08-30,St. Louis Cardinals,Pittsburgh Pirates,Pittsburgh Pirates,St. Louis Cardinals,5,4
2026-08-30,New York Mets,Houston Astros,Houston Astros,New York Mets,6,3
2026-08-30,Athletics,Baltimore Orioles,Baltimore Orioles,Athletics,8,5
2026-08-30,Los Angeles Angels,Philadelphia Phillies,Philadelphia Phillies,Los Angeles Angels,5,2
2026-08-30,Chicago Cubs,Cincinnati Reds,Cincinnati Reds,Chicago Cubs,7,5
